id,title_english,format,status,season,seasonYear,seasonInt,episodes,duration,averageScore,meanScore,popularity,favourites
1006,Tenchi Muyo! In Love,MOVIE,FINISHED,SPRING,1996.0,962.0,1.0,94.0,71.0,72.0,4598,47
176317,,SPECIAL,FINISHED,SPRING,2024.0,242.0,4.0,1.0,68.0,69.0,4594,64
17819,,SPECIAL,FINISHED,,,,1.0,1.0,63.0,64.0,4593,11
1127,UFO Ultramaiden Valkyrie,TV,FINISHED,SUMMER,2002.0,23.0,12.0,23.0,63.0,64.0,4591,51
114052,Girls und Panzer: Taiyaki War!,OVA,FINISHED,WINTER,2020.0,201.0,1.0,11.0,72.0,73.0,4588,50
1335,Ghost in the Shell: Stand Alone Complex: Tachikomatic Days,SPECIAL,FINISHED,,,,26.0,1.0,65.0,66.0,4587,15
3488,,MOVIE,FINISHED,FALL,1987.0,874.0,1.0,106.0,63.0,64.0,4586,65
122922,,OVA,FINISHED,SUMMER,2016.0,163.0,1.0,41.0,71.0,72.0,4583,22
4156,,SPECIAL,FINISHED,SUMMER,2005.0,53.0,1.0,4.0,66.0,67.0,4582,10
143663,,SPECIAL,FINISHED,,,,1.0,3.0,73.0,74.0,4580,46
1663,3000 Leagues in Search of Mother,TV,FINISHED,WINTER,1976.0,761.0,52.0,26.0,72.0,73.0,4579,82
3060,Dallos,OVA,FINISHED,FALL,1983.0,834.0,4.0,30.0,58.0,59.0,4578,26
97904,TSUKIPRO THE ANIMATION,TV,FINISHED,FALL,2017.0,174.0,13.0,23.0,60.0,61.0,4577,36
3270,IGPX,TV,FINISHED,FALL,2005.0,54.0,13.0,23.0,66.0,67.0,4577,41
1086,Mars Daybreak,TV,FINISHED,SPRING,2004.0,42.0,26.0,23.0,68.0,69.0,4577,33
20944,Samurai Warriors,TV,FINISHED,WINTER,2015.0,151.0,12.0,24.0,58.0,58.0,4574,23
195496,,TV,NOT_YET_RELEASED,,,,,,,,4571,52
101594,CARDFIGHT!! VANGUARD,TV,FINISHED,SPRING,2018.0,182.0,52.0,23.0,65.0,65.0,4569,39
9911,Wish Upon the Pleiades,ONA,FINISHED,,,0.0,4.0,6.0,58.0,59.0,4565,9
1170,Slayers: The Book of Spells,OVA,FINISHED,SUMMER,1996.0,963.0,3.0,30.0,70.0,70.0,4554,29
3615,,TV,FINISHED,SPRING,2008.0,82.0,13.0,24.0,61.0,62.0,4547,29
1744,Mirmo Zibang!,TV,FINISHED,SPRING,2002.0,22.0,78.0,21.0,69.0,70.0,4543,77
418,"Ranma ½: Big Trouble in Nekonron, China",MOVIE,FINISHED,FALL,1991.0,914.0,1.0,74.0,68.0,68.0,4541,37
12021,Poyopoyo,TV_SHORT,FINISHED,WINTER,2012.0,121.0,52.0,3.0,71.0,72.0,4540,39
20642,The File of Young Kindaichi Returns,TV,FINISHED,SPRING,2014.0,142.0,25.0,24.0,70.0,71.0,4539,40
140187,The Prince of Tennis II: U-17 World Cup,TV,FINISHED,SUMMER,2022.0,223.0,13.0,24.0,67.0,68.0,4537,66
524,Please☆Twins!: The Summer Never Ends,OVA,FINISHED,SPRING,2004.0,42.0,1.0,25.0,64.0,64.0,4536,16
5504,Polyphonica Crimson S,TV,FINISHED,SPRING,2009.0,92.0,12.0,25.0,67.0,68.0,4535,19
154969,UniteUp!,TV,FINISHED,WINTER,2023.0,231.0,12.0,24.0,67.0,69.0,4532,69
2196,Leda: The Fantastic Adventure of Yohko,OVA,FINISHED,SPRING,1985.0,852.0,1.0,70.0,63.0,64.0,4531,52
20861,Ace of Diamond OVA,OVA,FINISHED,FALL,2014.0,144.0,3.0,23.0,73.0,74.0,4527,24
104213,Mr. Osomatsu THE MOVIE,MOVIE,FINISHED,WINTER,2019.0,191.0,1.0,108.0,76.0,77.0,4522,115
2147,,OVA,FINISHED,SUMMER,1986.0,863.0,1.0,30.0,50.0,51.0,4521,29
21721,,ONA,FINISHED,SPRING,2016.0,162.0,9.0,2.0,57.0,57.0,4519,6
2772,Hero Tales,TV,FINISHED,FALL,2007.0,74.0,26.0,24.0,62.0,63.0,4517,19
186914,Ninja Vs. Gokudo,TV,RELEASING,FALL,2025.0,254.0,,23.0,56.0,58.0,4515,60
122041,,SPECIAL,FINISHED,SPRING,2020.0,202.0,2.0,10.0,66.0,67.0,4514,40
21071,,MOVIE,FINISHED,WINTER,2015.0,151.0,1.0,25.0,59.0,59.0,4512,14
185070,Me and the Alien MuMu,TV,FINISHED,SPRING,2025.0,252.0,24.0,24.0,62.0,64.0,4510,72
1143,,SPECIAL,FINISHED,,,,1.0,24.0,60.0,61.0,4510,4
6609,,TV,FINISHED,,,,26.0,23.0,63.0,63.0,4509,70
129046,,OVA,FINISHED,SPRING,2021.0,212.0,6.0,4.0,51.0,52.0,4508,57
3090,Oh! My Goddess: Fighting Wings,SPECIAL,FINISHED,FALL,2007.0,74.0,2.0,24.0,72.0,73.0,4508,26
621,Nightwalker: The Midnight Detective,TV,FINISHED,SUMMER,1998.0,983.0,12.0,25.0,64.0,66.0,4505,43
20941,The Prince of Tennis II OVA vs Genius 10,OVA,FINISHED,FALL,2014.0,144.0,10.0,24.0,73.0,74.0,4501,51
98471,EUREKA: Eureka Seven Hi-Evolution,MOVIE,FINISHED,FALL,2021.0,214.0,1.0,116.0,61.0,64.0,4497,46
20039,,OVA,FINISHED,FALL,2013.0,134.0,1.0,27.0,67.0,67.0,4496,11
10108,Oreimo Animated Commentary,SPECIAL,FINISHED,WINTER,2010.0,101.0,16.0,13.0,60.0,61.0,4496,10
115217,,OVA,FINISHED,WINTER,2020.0,201.0,10.0,2.0,65.0,66.0,4495,23
17,,TV,FINISHED,FALL,2002.0,24.0,52.0,23.0,71.0,72.0,4491,81
21774,Ojisan to Marshmallow: Hige-san and Marshmallow,SPECIAL,FINISHED,SPRING,2016.0,162.0,1.0,4.0,57.0,57.0,4487,11
150697,Obey Me! The Anime Season 2,ONA,FINISHED,SUMMER,2022.0,223.0,12.0,6.0,68.0,69.0,4484,83
119964,POKÉTOON,ONA,FINISHED,SPRING,2020.0,202.0,8.0,10.0,71.0,72.0,4480,57
101345,City Hunter: Shinjuku Private Eyes,MOVIE,FINISHED,WINTER,2019.0,191.0,1.0,100.0,72.0,74.0,4480,70
6712,Natsu no Arashi! Season 2,TV,FINISHED,FALL,2009.0,94.0,13.0,24.0,70.0,71.0,4479,27
2291,Fight!! Iczer-1,OVA,FINISHED,FALL,1985.0,854.0,3.0,30.0,59.0,59.0,4479,59
958,Heat Guy J,TV,FINISHED,FALL,2002.0,24.0,25.0,24.0,66.0,68.0,4479,29
9493,Ghastly Prince Enma Burning Up,TV,FINISHED,SPRING,2011.0,112.0,12.0,24.0,62.0,63.0,4474,29
144188,alice gear aegis Expansion,TV,FINISHED,SPRING,2023.0,232.0,12.0,24.0,53.0,54.0,4470,65
21886,Anime de Training! XX,TV_SHORT,FINISHED,FALL,2016.0,164.0,12.0,4.0,52.0,52.0,4470,12
13833,,OVA,FINISHED,SPRING,2012.0,122.0,1.0,18.0,60.0,60.0,4470,13
101126,Macross Delta: Passionate Walküre,MOVIE,FINISHED,WINTER,2018.0,181.0,1.0,120.0,67.0,68.0,4469,35
10702,,MOVIE,FINISHED,SUMMER,2011.0,113.0,1.0,93.0,62.0,62.0,4466,32
169418,Delusional Monthly Magazine,TV,FINISHED,WINTER,2024.0,241.0,12.0,24.0,46.0,47.0,4465,34
9611,Oh! My Goddess (2011),OVA,FINISHED,WINTER,2011.0,111.0,3.0,28.0,71.0,72.0,4463,36
7375,,SPECIAL,FINISHED,FALL,2009.0,94.0,4.0,7.0,64.0,64.0,4460,8
20970,,OVA,FINISHED,SPRING,2015.0,152.0,2.0,41.0,73.0,75.0,4459,20
99662,,ONA,FINISHED,,,,12.0,15.0,54.0,54.0,4457,24
4795,Pokémon: Camp Pikachu,SPECIAL,FINISHED,SUMMER,2002.0,23.0,1.0,22.0,60.0,61.0,4457,15
5065,Detroit Metal City: Birth of the Metal Devil,SPECIAL,FINISHED,SUMMER,2008.0,83.0,1.0,13.0,67.0,68.0,4456,10
1432,Lupin the 3rd: The Fuma Conspiracy,MOVIE,FINISHED,FALL,1987.0,874.0,1.0,73.0,71.0,72.0,4452,41
792,Ranma ½: Nihao My Concubine,MOVIE,FINISHED,SUMMER,1992.0,923.0,1.0,60.0,71.0,71.0,4452,49
99548,National Husband Bring Home SS1,ONA,FINISHED,,,,12.0,11.0,55.0,56.0,4450,26
143150,KAGI-NADO Season 2,TV_SHORT,FINISHED,SPRING,2022.0,222.0,12.0,4.0,72.0,73.0,4448,60
