anime_id,genre
20722,Slice of Life
130592,Comedy
130592,Fantasy
130592,Romance
130592,Slice of Life
125206,Action
125206,Adventure
125206,Comedy
125206,Fantasy
1195,Action
1195,Adventure
1195,Comedy
1195,Ecchi
1195,Fantasy
1195,Romance
15689,Drama
15689,Mystery
15689,Psychological
15689,Romance
15689,Supernatural
162314,Action
162314,Drama
162314,Fantasy
162314,Psychological
162314,Romance
16742,Comedy
16742,Slice of Life
114124,Drama
114124,Mystery
114124,Psychological
141014,Drama
141014,Mystery
141014,Psychological
141014,Thriller
790,Adventure
790,Mystery
790,Psychological
790,Sci-Fi
163139,Action
163139,Adventure
20811,Action
20811,Drama
20811,Fantasy
128705,Drama
128705,Slice of Life
100077,Comedy
100077,Sci-Fi
100077,Slice of Life
100077,Supernatural
20912,Drama
20912,Music
20912,Slice of Life
98491,Adventure
98491,Comedy
98491,Fantasy
98491,Romance
108241,Action
108241,Ecchi
108241,Mystery
108241,Supernatural
114745,Adventure
114745,Drama
114745,Fantasy
114745,Horror
114745,Mystery
114745,Sci-Fi
7785,Comedy
7785,Mystery
7785,Psychological
7785,Romance
114043,Comedy
114043,Drama
114043,Ecchi
1943,Fantasy
1943,Mystery
1943,Psychological
1943,Sci-Fi
1943,Thriller
101001,Comedy
101001,Slice of Life
8769,Comedy
8769,Slice of Life
7311,Drama
7311,Mystery
7311,Sci-Fi
7311,Supernatural
112609,Adventure
112609,Fantasy
112609,Slice of Life
19163,Action
19163,Comedy
19163,Ecchi
19163,Fantasy
19163,Romance
19163,Sci-Fi
21400,Action
21400,Drama
21400,Ecchi
21400,Mystery
21400,Psychological
21400,Supernatural
128547,Drama
128547,Mystery
128547,Psychological
128547,Thriller
103632,Action
103632,Adventure
103632,Comedy
103632,Fantasy
103632,Mystery
115113,Comedy
115113,Ecchi
115113,Romance
115113,Slice of Life
17729,Drama
17729,Ecchi
17729,Psychological
17729,Romance
104647,Comedy
104647,Fantasy
104647,Romance
104647,Slice of Life
97832,Drama
97832,Romance
1887,Comedy
1887,Slice of Life
21399,Action
21399,Drama
21399,Ecchi
21399,Mystery
21399,Psychological
21399,Supernatural
20791,Action
20791,Fantasy
20791,Psychological
20791,Supernatural
527,Action
527,Adventure
527,Comedy
527,Fantasy
99457,Drama
99457,Fantasy
99457,Psychological
163132,Comedy
163132,Romance
163132,Slice of Life
2759,Action
2759,Drama
2759,Mecha
2759,Psychological
2759,Sci-Fi
114194,Drama
114194,Mystery
114194,Psychological
114194,Romance
114194,Slice of Life
20513,Action
20513,Psychological
20513,Sci-Fi
20513,Thriller
154768,Comedy
154768,Ecchi
154768,Romance
154768,Slice of Life
100298,Action
100298,Drama
100298,Sci-Fi
100298,Sports
109190,Drama
109190,Fantasy
109190,Slice of Life
97863,Comedy
97863,Ecchi
97863,Romance
97863,Slice of Life
99749,Action
99749,Adventure
99749,Comedy
99749,Fantasy
11633,Action
11633,Adventure
11633,Comedy
11633,Ecchi
11633,Supernatural
181444,Comedy
181444,Drama
181444,Romance
